CVE_ENT,delito,resolucion,ubicacion,productos_servicios,detalles_adicionales
17,DEPENDENCIA: COMISION ESTATAL DEL AGUA, DAO AL ERARIO PBLICO, 4, BOMBAS SUMERGIBLES PARA RECIRCULACIN DE LODOS, AUTORIZ EN LA ESTIMACIN 4
1,SUSTRACCIN,SUSTRACCIN,SUSTRACCIN,SUSTRACCIN DE BIENES DEL INSTITUTO, UTILIZAR VEHCULO OFICIAL
27,SE DETECTARON IRREGULARIDADES PLASMADAS," $108,671.53", TABASCO.," $108,671.53", IRREGULARIDADES
9,POR EL USO INDEBIDO,POR EL USO INDEBIDO,POR EL USO INDEBIDO, DISPOSITIVO ELECTRNICO, USO INDEBIDO DEL DISPOSITIVO ELECTRNICO
9,REALIZAR ACTOS DE TORTURA,REALIZAR ACTOS DE TORTURA,REALIZAR ACTOS DE TORTURA CONTRA UNA PERSONA DETENIDA.,REALIZAR ACTOS DE TORTURA CONTRA UNA PERSONA DETENIDA.,REALIZAR ACTOS DE TORTURA CONTRA UNA PERSONA DETENIDA.
9,"SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,","SUSTRAJO HIDROCARBURO DE UN DUCTO DE PEMEX,"
9,INDEBIDAMENTE, SE PERMITI LA INTERNACIN REGULAR," INDIA,", REGISTRAR LA INFORMACIN, SE OMITI REGISTRAR LA INFORMACIN
9,PRESENTO INFORMACION CARENTE DE VERACIDAD., INFORMACION CARENTE DE VERACIDAD., INFORMACION CARENTE DE VERACIDAD., INFORMACION CARENTE DE VERACIDAD., INFORMACION CARENTE DE VERACIDAD.
27, ABUSO DE AUTORIDAD.," $76400,000.00,", TABASCO.," $76400,000.00,", IRREGULARIDADES
28,"EFECTUAR CANCELACIONES Y ACREDITACIONES SIN AUTORIZACIN,","EFECTUAR CANCELACIONES Y ACREDITACIONES SIN AUTORIZACIN,","EFECTUAR CANCELACIONES Y ACREDITACIONES SIN AUTORIZACIN,","EFECTUAR CANCELACIONES Y ACREDITACIONES SIN AUTORIZACIN,"," AVALOS Y MANIFIESTOS NO REFLEJADOS EN BANCOS,"
9,NO SE ABSTUVO,NO SE ABSTUVO," DENTRO DE LA OFICINA DE AUTODECLARACION,"," INTRODUCIR MERCANCIA DE PROCEDENCIA EXTRANJERA,"," BOLETA DE PAGO, RECIBO O COMPROBANTE DE PAGO"
9,NO LOS PRECISAN,NO LOS PRECISAN,NO LOS PRECISAN,NO LOS PRECISAN,NO LOS PRECISAN
27, VIOLACIN LEYES Y NORMATIVIDAD PRESUPUESTAL.," $3,500,000.00,", TABASCO.," $3,500,000.00,", SE DETECTARON IRREGULARIDADES
27, ABUSO DE AUTORIDAD., ABUSO DE AUTORIDAD., TABASCO.," $8144,045.28,", IRREGULARIDADES
26,ABUSOS DESHONESTOS.,ABUSOS DESHONESTOS.,ABUSOS DESHONESTOS.,ABUSOS DESHONESTOS.,ABUSOS DESHONESTOS.
9,"REALIZ ACTOS QUE IMPLICARON ABUSO DE SU EMPLEO,"," ABUSO DE SU EMPLEO,", NINGUNO DE ESTOS SE PREV LA CONTRATACIN," ABUSO DE SU EMPLEO,"," ABUSO DE SU EMPLEO,"
9,AUTORIDAD SANCIONADORA:, DIRECCIN DE RESPONSABILIDADES Y SANCIONES, DIRECCIN DE RESPONSABILIDADES Y SANCIONES, DIRECCIN DE RESPONSABILIDADES Y SANCIONES, DIRECCIN DE RESPONSABILIDADES Y SANCIONES
9, C.I. EN LA SECRETARA DE SALUD, C.I. EN LA SECRETARA DE SALUD, SECRETARA DE SALUD, C.I. EN LA SECRETARA DE SALUD, C.I. EN LA SECRETARA DE SALUD
21,NO LOS PRECISAN,NO LOS PRECISAN,NO LOS PRECISAN,NO LOS PRECISAN,NO LOS PRECISAN
9," HACIENDO MAL USO DE LA CLAVE ASIGNADA,"," $8,484,148.06"," 2010,", SERVIDOR PBLICO, 206 TRANSFERENCIAS DE RECURSOS ECONMICOS
13,NO REALIZAR EN TIEMPO, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO",NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, CARENTE DE VALIDEZ,PRESENTO LICENCIA MEDICA CARENTE DE VALIDEZ, LICENCIA MEDICA CARENTE DE VALIDEZ
19," DELINCUENCIA ORGANIZADA,", PENALMENTE RESPONSABLE," NUEVO LEN,", SERVIDOR PBLICO," VIGENTE EN LA POCA DE LOS HECHOS,"
9,OMITIR BRINDAR ATENCIN MDICA OPORTUNA, MUERTE, DERIVANDO EN LA MUERTE DEL PRODUCTO.,OMITIR BRINDAR ATENCIN MDICA OPORTUNA,OMITIR BRINDAR ATENCIN MDICA OPORTUNA
9, UNA ALUMNA., NO OBSERVO BUENA CONDUCTA," ESTADO DE NUEVO LEON,", UNA ALUMNA., NO HABER TRATADO CON RESPETO Y RECTITUD
9,HABER FIRMADO DOCUMENTOS SIN TENER FACULTADES,HABER FIRMADO DOCUMENTOS SIN TENER FACULTADES, EL ESTADO, CHEQUES, HABER OBTENIDO BENEFICIOS ADICIONALES
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
16,"
NORMATIVIDAD INFRINGIDA:", FIDEICOMISO IRREVOCLAVE, ESTADO DE MICHOACAN, DERECHOS LOS CAULES,"
NORMATIVIDAD INFRINGIDA:"
9, DAO PATRIMONIAL, DAO PATRIMONIAL," DOS MIL CINCO,"," MICRO-COMPUTADORA,", SEGN SE ADVIERTE DEL CONTRATO NMERO 055
11,"
INCURRIR DENTRO O FUERA DE SUS ACTIVIDADES,","
INCURRIR DENTRO O FUERA DE SUS ACTIVIDADES,", ESTADO DE GUANAJUATO, PATRIMONIO DE LA PROCURADURA., OTRAS DISPOSICIONES LEGALES.
13,NO REALIZAR EN TIEMPO,NO REALIZAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO.,NO REALIZAR EN TIEMPO SU DECLARACIN PATRIMONIAL
9,EN SU CARACTER DE PREFECTO, CONSANGUINEO," ORIENTAL PUEBLA, PUEBLA,", TECNOLOGICO INDUSTRIAL Y DE SERVICIOS, PARENTESCO CONSANGUINEO
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
16, ABUSANDO SEXUALMENTE, ABUSANDO SEXUALMENTE, MICHOACN.," MENORES DE EDAD,", AVERIGUACIONES PREVIAS PENALES
21,NO ESPECIFICA,NO ESPECIFICA,NO ESPECIFICA,NO ESPECIFICA,NO ESPECIFICA
9,RECURSOS DE LA COBRANZA A TIENDA,"RECURSOS DE LA COBRANZA A TIENDA NO DEPOSITADOS,", EL ESTADO,"RECURSOS DE LA COBRANZA A TIENDA NO DEPOSITADOS,","RECURSOS DE LA COBRANZA A TIENDA NO DEPOSITADOS,"
9," INSPECCIN FEDERAL,", $750.00, DOS MIL ONCE.," LA CANTIDAD DE $234,000.00", DECLARACIN EN EL ACTA ADMINISTRATIVA DE HECHOS
27,SOLICITO A LA SUBDELEGADA MEDICA, PAGO DE LOS FONDOS DE REPOSICION," TABASCO,", SUBROGACIN DE MEDICAMENTOS, IRREGULARIDADES.
9,OBTUVO," $978,741", VENEZUELA," $978,741",OBTUVO BENEFICIOS ADICIONALES
9,EXTEMPORNEO,EXTEMPORNEO,EXTEMPORNEO, DECLARACIN DE SITUACIN PATRIMONIAL, TAMPOCO SE CUENTA CON REGISTRO ALGUNO
9,CONDICION,CONDICION,CONDICION, MANUAL DE DIBUJO., UN MANUAL DE DIBUJO.
9,"ALTERO EXPEDIENTES MIGRATORIOS DE DIVERSOS EXTRANJEROS,", TRAMITES MIGRATORIOS,"ALTERO EXPEDIENTES MIGRATORIOS DE DIVERSOS EXTRANJEROS,", DINERO, TRAMITES MIGRATORIOS
13,DEPENDENCIA:, NO REALIZAR EN TIEMPO, ESTADO DE HIDALGO., DECLARACIN PATRIMONIAL DE CONCLUSIN DE ENCARGO., NO REALIZAR EN TIEMPO
9, RETIROS INDEBIDOS, RETIROS INDEBIDOS, SIN CONTAR CON LA AUTORIZACION, RETIROS INDEBIDOS, RETIROS INDEBIDOS
21,DERIVADO," $320, 000.00"," SIN COMPROBAR, NI JUSTIFICAR"," $320, 000.00"," SIN COMPROBAR, NI JUSTIFICAR"
9,REALIZAR ACTIVIDADES QUE NO TENA ENCOMENDADAS,REALIZAR ACTIVIDADES QUE NO TENA ENCOMENDADAS, TENA ENCOMENDADAS EN CONTRATO, ACTIVIDADES QUE NO TENA ENCOMENDADAS EN CONTRATO, NO TENA ENCOMENDADAS EN CONTRATO
30,OMITIR,OMITIR, SU SOBRINO.," CONTRATACION DE UN PROFESIONISTA,",OMITIR
13,VALID," $74,741.15 Y $56,796.77,"," HIDALGO,", TRABAJADORES DEL ESTADO, EN DOS OCASIONES APARECEN LOS ACREDITADOS
23," DELITO DE EVASIN DE PRESOS,"," BOLETAS DE EXCARCELACIN,", QUINTANA ROO.," BOLETAS DE EXCARCELACIN,", NOTORIAS IRREGULARIDADES
9,ENTREGO INFORMES DE RELACIN DE GASTOS, CONCEPTOS DE VIATICOS, 2008 Y 8 DE MAYO DE 2009., CONCEPTOS DE VIATICOS, INFORMES DE RELACIN DE GASTOS
9, NO CUIDO LA DOCUMENTACIN E INFORMACIN, EJERCICIO INDEBIDO, MXICO., DOCUMENTACIN E INFORMACIN," HECHOS FALSOS,"
9,"FALSIFICACION DE FIRMAS,","FALSIFICACION DE FIRMAS,", LEGISLACION DISTINTA A LA LAASSP,"FALSIFICACION DE FIRMAS,","FALSIFICACION DE FIRMAS,"
9,OMITI CUMPLIR, RETIR DINERO DE LA MISMA EN CUATRO OCASIONES.," ESTADO DE MXICO,", UNA TARJETA DE APOYOS BANSEFI, INVOLUCRADO RETIR DINERO DE LA MISMA
9,HABER REALIZADO GASTOS,HABER REALIZADO GASTOS," PUESTO QUE DESEMPEABA,ASI"," MEDICAMENTOS, PAGO DE ESTACIONAMIENTOS,"," COMPRAR MEDICAMENTOS, PAGO DE ESTACIONAMIENTOS,"
9,HABER REALIZADO PAGOS IMPROCEDENTES,HABER REALIZADO PAGOS IMPROCEDENTES, MAYORES., PAGOS IMPROCEDENTES,HABER REALIZADO PAGOS IMPROCEDENTES
9, SIN QUE DICHOS PAGOS ESTUVIERAN JUSTIFICADOS,EXPIDIO FIRMO 4 CHEQUES, SIN QUE DICHOS PAGOS ESTUVIERAN JUSTIFICADOS, MANTENIMIENTO AL EDIFICIO, JUSTIFICADOS
9,AUTORIDAD SANCIONADORA: DIRECCIN DE CUENTA PBLICA, DIRECCIN DE CUENTA PBLICA,AUTORIDAD SANCIONADORA: DIRECCIN DE CUENTA PBLICA, DIRECCIN DE CUENTA PBLICA, DIRECCIN DE CUENTA PBLICA
9, DIRECCION GENERAL DE LEGALIDAD Y RESPONSABILIDADES, DIRECCION DE RESPONSABILIDADES Y SANCIONES, DIRECCION DE RESPONSABILIDADES Y SANCIONES, DIRECCION DE RESPONSABILIDADES Y SANCIONES, DIRECCION GENERAL DE LEGALIDAD Y RESPONSABILIDADES
9,NO SE ABSTUVO, INHABILITACIN POR 20 AOS, 2006, COMISIONES EN EL SERVICIO PBLICO., SANCIN DE INHABILITACIN POR 20 AOS
9," EN LA OBTENCIN DE LAS PLAZAS EN CONCURSO,"," FALTA DE HONRADEZ E IMPARCIALIDAD,"," VERACRUZ,"," SERVICIO PBLICO,"," FALTA DE HONRADEZ E IMPARCIALIDAD,"
2," EROGACIN,"," LA EROGACIN,", AYUNTAMIENTO, UN TALLER DE CINE, TRAMITAR Y GESTIONAR
19," DELINCUENCIA ORGANIZADA,"," $6,000.00"," SANTIAGO NUEVO LEN,", VEHCULO EXTRAO, REPORTAR ALGN VEHCULO EXTRAO
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
21,DE LA REVISION AL CONTROL LEGISLATIVO, $13'507.771.43," SIN COMPROBAR, NI JUSTIFICAR", $13'507.771.43," SIN COMPROBAR, NI JUSTIFICAR"
19, INCUMPLIMIENTO A LO DISPUESTO EN EL ARTCULO 50, DIRECTOR DE REGIMEN INTERNO, MONTERREY, PBLICOS DEL ESTADO Y MUNICIOS DE NUEVO LEON., INCUMPLIMIENTO
9,EL SERVIDOR PBLICO,EL SERVIDOR PBLICO, EL ESTADO," ESTA ES TU CASA,", DESVI RECURSOS
23,"IDOS,",UNCIAMIENTO, RGANO DE GOBIERNO DE LA ENTIDAD;," DOCUMENTO ALTERADO ENVIADO,", ALTER INFORMACIN Y DOCUMENTACIN
9," CON CARGO A UNA PARTIDA ESPECFICA,"," CON CARGO A UNA PARTIDA ESPECFICA,",INDEBIDAMENTE, INSUMOS, LOS DOCUMENTOS
9, DELITO DE SECUESTRO)., DELITO DE SECUESTRO).," EJECUTORIA,", SERVIDOR PBLICO, LIBERTAD AMBULATORIA DE LAS PERSONAS
1,USAR UN DOCUMENTO, SANCIN DE INHABILITACIN," ESTADO DE AGUASCALIENTES,",USAR UN DOCUMENTO," I, III, IV, XX, XXI Y XXXIII Y 71."
9,AUTORIDAD SANCIONADORA:, DIRECCION DE RESPONSABILIDADES Y SANCIONES, DIRECCION DE RESPONSABILIDADES Y SANCIONES, CONTRALORIA GENERAL, DIRECCION DE RESPONSABILIDADES Y SANCIONES
9,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO,DEFICIENCIA EN LA PRESTACIN,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO
9,AUTORIZ Y APLIC," $4,000.000.00,"," 01 DE ABRIL DE 2011,"," ADQUISICIN DE ALGN BIEN,", SIN LA CONTRAPRESTACIN
16, NO VERIFIC, ELABOR FINIQUITO CORRESPONDIENTE;," MICHOACN,"," SISTEMA DE ALCANTARILLADO SANITARIO,"," INFORMES PERIODICOS NI FINAL,"
9,DURANTE EL TIEMPO, JUICIOS DE AMPARO., DIVERSOS JUICIOS DE AMPARO.," LA LICENCIA SIN GOCE DE SUELDO,", AUTORIZADO EN DIVERSOS JUICIOS DE AMPARO.
21,DIVERSAS IRREGULARIDADES NO DESVIRTUADAS," $653,969.13."," PUEBLA,"," $653,969.13.",DIVERSAS IRREGULARIDADES
9,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO.,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO.,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO.,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO.,DEFICIENCIA EN LA PRESTACIN DEL SERVICIO.
9,REVIS LOS CLCULOS DE LIQUIDACIN, DAO PATRIMONIAL,REVIS LOS CLCULOS DE LIQUIDACIN, PRESTACIONES LABORALES, PRESTACIONES LABORALES
9,FALTA DE SUPERVISION,FALTA DE SUPERVISION, CALIFORNIA.,FALTA DE SUPERVISION,FALTA DE SUPERVISION
9, TENA INTERS PERSONAL, BENEFICIADO PERSONALMENTE.," JALISCO,", TENA INTERS PERSONAL, TENA INTERS PERSONAL
9,COPARTICIPO," $500,000.00,", LA RESOLUCION DEFINITIVA, CREDITO, CONTRAPRESTACIONES COMPROBABLES
9,OBTUVO, UN BENEFICIO ADICIONAL, COMISIN, COMISIN FEDERAL DE ELECTRICIDAD, CONTRAPRESTACIONES COMPROBABLES
9, NO CUMPLIAN CON LA EDAD REQUERIDA., CREDENCIALES, NO CUMPLIAN CON LA EDAD REQUERIDA., CREDENCIALES, CREDENCIALES
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
21, DAO PATRIMONIAL, DAO PATRIMONIAL, SEPTIMO, PATRIMONIAL, IRREGULARIDADES
9,HABER VALIDADO INDEBIDAMENTE EXPEDIENTES DE CREDITO,HABER VALIDADO INDEBIDAMENTE EXPEDIENTES DE CREDITO, DASAPEGO A LA NORMATIVIDAD APLICABLE., EXPEDIENTES DE CREDITO,HABER VALIDADO INDEBIDAMENTE EXPEDIENTES DE CREDITO
21, SANCIONADORA:CONTRALORA," $22,300.00", SANCIONADORA:CONTRALORA MUNICIPAL," $22,300.00","
HECHOS:INVIT"
16,"
FRACCIONES VIOLENTADAS:","
FRACCIONES VIOLENTADAS:", ESTADO DE MICHOACN;," 14 CATORCE BOLETAS DE INFRACCIN,"," 14 CATORCE BOLETAS DE INFRACCIN,"
17, ADEUDOS," $35969,896.90.", CUERNAVACA., ADEUDOS EN LOS PAGOS, POR ADEUDOS EN LOS PAGOS DE LAS CATORCENAS
26,"DERIVADO DE UNA AUDITORIA DE ISAF,"," $265,379.00", ESTADO DE SONORA, PAGOS EN EXCESO E IMPROCEDENTES, PAGOS EN EXCESO E IMPROCEDENTES
9,EJERCI," ASISTENTE DE DE SERVICIOS AL PLANTEL,",EJERCI, ASISTENTE DE DE SERVICIOS, NO TRAT CON RESPETO Y RECTITUD
9," ABUSO DE SU EMPLEO,", 3 COMISIONES SIN REALIZARLAS;," S DE PR DE RL,"," ABUSO DE SU EMPLEO,"," ABUSO DE SU EMPLEO,"
9, EL TRAMITE PARA SU PROPIA PROMOCION., EL TRAMITE PARA SU PROPIA PROMOCION., JALISCO, TRAMITE PARA SU PROPIA PROMOCION., NO SE ABSTUVO DE INTERVENIR Y/O PARTICIPAR
9,ONTUVO,ONTUVO BENEFICIOS ADICIONALES, ESTADO, DESEMPEO DE SU FUNCION., BENEFICIOS ADICIONALES
9," JUICIO LABORAL  1425/2010,"," JUICIO LABORAL  1425/2010,", DOS MIL QUINCE., NO ESTUVO AL TANTO DE LAS NOTIFICACIONES, NO ESTUVO AL TANTO DE LAS NOTIFICACIONES REALIZADAS
26, GOLPEADO DE MANERA EXCESIVA, GOLPEADO DE MANERA EXCESIVA, SONORA.," CENTRO DE READAPTACIN SOCIAL HERMOSILLO I,", HABER GOLPEADO DE MANERA EXCESIVA
9,EN SU CARACTER DE SERVIDOR PUBLICO, PRETENDIO OBTENER BENEFICIOS ADICIONALES," TECNOLOGICO NACIONAL DE MEXICO,"," TECNOLOGICO NACIONAL DE MEXICO,", BENEFICIOS ADICIONALES
14,NO ENTREGAR FORMALMENTE,NO ENTREGAR FORMALMENTE, H. AYUNTAMIENTO DE HUEJUQUILLA EL ALTO.,NO ENTREGAR FORMALMENTE, JERRQUICO.
26,DEPENDENCIA:," $16795, 791.79.", SONORA, PAGO DE DIVERSAS FACTURAS, SIN CONTAR CON LA DOCUMENTACIN
9,"NO ENTREG AL SERVICIO PAN AMERICANO DE PROTECCIN,","NO ENTREG AL SERVICIO PAN AMERICANO DE PROTECCIN,","NO ENTREG AL SERVICIO PAN AMERICANO DE PROTECCIN,"," ELECTRICIDAD,","NO ENTREG AL SERVICIO PAN AMERICANO DE PROTECCIN,"
9, INTERS PERSONAL;,NO SE EXCUS DE INTERVENIR, ASUNTOS EN LOS QUE TENA UN INTERS FAMILIAR, BENEFICIO, EN ASUNTOS EN LOS QUE TENA UN INTERS FAMILIAR
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
14,OMISION,OMISION," H AYUNTAMIENTO DE TOTOTLAN, JALISCO.", ENCARGO., PATRIMONIAL Y DE INTERESES DE CONCLUSION DEL ENCARGO.
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9,SOLICITO INFORMACION ERRONEA,SOLICITO INFORMACION ERRONEA, COMISION NACIONAL DE LOS DERECHOS HUMANOS., INFORMACION CARENTE DE VERACIDAD, INFORMACION CARENTE DE VERACIDAD
9,PRESENT," DIVERSAS FACTURAS,",PRESENT, GASTOS POR CONCEPTO DE HOSPEDAJE Y ALIMENTACIN.," DIVERSAS FACTURAS,"
9,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS,PRIVACION,PRIVACION ILEGAL DE LA LIBERTAD,PRIVACION ILEGAL DE LA LIBERTAD Y DE OTRAS GARANTIAS
9,"INCONSISTENCIAS EN EL PROCESO DE SOLICITUD,",INCONSISTENCIAS,INCONSISTENCIAS,"INCONSISTENCIAS EN EL PROCESO DE SOLICITUD,","INCONSISTENCIAS EN EL PROCESO DE SOLICITUD,"
9,"LA C. MARTHA MARA NPOLES DOMNGUEZ,", VITICOS Y PASAJES, GUERRERO;, FONDO DE LA VIVIENDA, VITICOS Y PASAJES
28, PBLICAS, DESACATO, 22/06/2009., PBLICAS,"
NO ATENDIO CON DILIGENCIA"
2, OMITI, OMITI, AYUNTAMIENTO, PAGO DEL ANTICIPO, PAGO DEL ANTICIPO RECIBIDO POR LA CONTRATISTA
13,OMITI, INHABILITACIN," ESTADO DE HIDALGO,"," EMPLEO, CARGO O COMISIN EN EL SERVICIO PBLICO", TODOS LOS EFECTOS LEGALES A QUE HAYA LUGAR.
9,HABER OMITIDO PRESENTAR SU DECLARACION,HABER OMITIDO PRESENTAR SU DECLARACION,HABER OMITIDO PRESENTAR SU DECLARACION, PATRIMONIAL, DECLARACION DE SITUACION PATRIMONIAL
9,NO SE EXCUS, EFECTOS JURDICOS., PBLICA," TENA INTERES FAMILIAR,"," CONVENIOS DE CONCERTACIN  Y UN CONTRATO,"
9,OBTUVIERON, OTORG, ESTADO, OTORG,OBTUVIERON BENEFICIOS ADICIONALES
9,OMITIO,OMITIO,OMITIO, PATRIMONIAL, DECLARACION DE SITUACION PATRIMONIAL
9, VIOLACIN DE PROCEDIMIENTOS, VIOLACIN DE PROCEDIMIENTOS, SINALOA., VIOLACIN DE PROCEDIMIENTOS," PREGUNTAS Y RESPUESTAS DE LA PRIMERA ETAPA,"
30,PARTICIPO EN LA SUSTRACIN," 1485,510.00"," 1485,510.00"," TUBOS DE INTERCAMBIADOR DE CALOR,",PARTICIPO EN LA SUSTRACIN
9,EJERCI INDEBIDAMENTE, INHABILITADA, SE ENCONTRABA INHABILITADA," EL CARGO DE MDICO ESCOLAR DE SECUNDARIA DGOSE,", SE ENCONTRABA INHABILITADA
30, 2016.," DAO PATRIMONIAL,"," VERACRUZ,"," DAO PATRIMONIAL,"," PROBABLE DAO PATRIMONIAL,"
26," CIERTAS COMPRAR POR SUBROGACIN,"," $3,830,744,", ESTADO DE SONORA., MEDICAMENTOS, 18 FACTURAS DE DISTINTOS PROVEEDORES
26,OMITI,OMITI," ESTADO DE SONORA,", ISSSTESON., AL MANUAL DE ORGANIZACIN DEL ISSSTESON.
26,"
HECHOS:NO CUMPLI", REINCIDENTE, SONORA, SOLVENTACIONES, LA INDICACIN DE LLEVAR A CABO SOLVENTACIONES
26,OMITI,OMITI," ESTADO DE SONORA,", ISSSTESON., AL MANUAL DE ORGANIZACIN DEL ISSSTESON.
26, DERIVADO DE UNA AUDITORA NO SE SOLVENTARON, NO SE SOLVENTARON, SONORA., DERIVADO DE UNA AUDITORA NO SE SOLVENTARON, OBSERVACIONES
26,DERIVADO, SE AFECTARON PRESUPUESTOS., ESTADO DE SONORA, PRESUPUESTOS., SE AFECTARON PRESUPUESTOS.
9,"LA C. MARLA TERESA RAMIREZ MORIN,", BENEFICIOS ADICIONALES," 20,", TECNOLOGICO INDUSTRIAL Y DE SERVICIOS, CONTRAPRESTACIONES COMPROBABLES
26, QUEBRANTOS., QUEBRANTOS., ESTADO DE SONORA, BANCARIAS, REVISIN DE LAS CONCILIACIONES BANCARIAS
9,NO REALIZO EL DEBIDO CONTROL Y EVALUACION," $1,637,012.95,", OCASIONO," $1,637,012.95,"," LA PLANTILLA DE PERSONAL Y LA NOMINA,"
9, ROSARIO GUTIRREZ ESKILDSEN," $85,000.00"," DISTRITO FEDERAL,", SERVICIOS EDUCATIVOS, FRACCION XI DEL ARTICULO 8
9, NO CUMPLIAN CON LA EDAD REQUERIDA., CREDENCIALES, NO CUMPLIAN CON LA EDAD REQUERIDA., CREDENCIALES, CREDENCIALES
9,FIRMO LAS LISTAS DE ASISTENCIA, EL PERIODO PARA EL CUAL SE LE DESIGNO., YA HABIA CONCLUIDO EL PERIODO," CONTRATO DE SERVICIOS,", YA HABIA CONCLUIDO EL PERIODO
26,DERIVADO, GASTOS SIN REQUISITOS DE CONTROL INTERNO., ESTADO DE SONORA, GASTOS, GASTOS SIN REQUISITOS DE CONTROL INTERNO.
30,"HABER TRAMITADO, AUTORIZADO Y  RECIBIDO","HABER TRAMITADO, AUTORIZADO Y  RECIBIDO", SIN TENER DERECHO INCENTIVO Y PRIMA VACACIONAL.,"HABER TRAMITADO, AUTORIZADO Y  RECIBIDO", PRIMA VACACIONAL.
9, DELITO," PESAJE, Y DESTRUCCION DE OBJETOS", CHETUMAL QUINTANA.,"OMITIO CUMPLIR CON EL SERVICIO ENCOMENDADO,"," IDENTIFICACION, CONTEO, PESAJE, Y DESTRUCCION"
2, MRITO," IMPROCEDENTE,"," XIX AYUNTAMIENTO DE TIJUANA, BAJA CALIFORNIA,", PREDIO," FRACCIONES I, XI Y XXIV"
9, PARA SOLUCIONAR UN PROBLEMA FAMILIAR;, REINTEGRANDO AL ORGANISMO EL DAO ECONOMICO," 2011,", PARA SOLUCIONAR UN PROBLEMA FAMILIAR;, OMITIO DENUNCIAR POR ESCRITO
9,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA,PRESENTO LICENCIA MEDICA APOCRIFA
30,DEPENDENCIA:, CONTRALORIA GENERAL DEL ESTADO DE VERACRUZ, VERACRUZ, PATRIMONIAL,"
HECHOS:"
9," INJUSTIFICADA,", INJUSTIFICADA E INDEBIDA," INJUSTIFICADA,", MEDICAMENTOS, DIVERSAS IRREGULARIDADES
9,"EL SANCIONADO,"," SANCIONADO,","EL SANCIONADO,"," RECEPCIN DE REMESAS DE PEMEX REFINACION,EXISTENCIAS"," REFINACION,EXISTENCIAS FISICAS"
9,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado,Dato no proporcionado
21, NO CUMPLI,"
AUTORIDAD SANCIONADORA:","
AUTORIDAD SANCIONADORA: DELEGACIN", SERVICIO, NO CUMPLI CON LA MXIMA DILIGENCIA
23,.,.,.,.,.
